                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0859,                  3.568,                 1.2447,                0.25135,                   0.35,                0.05313,                0.02539,                 2.3923,                 9.9676,                 2.1683,                  7e-05,                  7e-05,                  7e-05
                      2,                0.79019,                 2.0017,                 1.0045,                 0.0009,                0.12917,                0.00076,                  9e-05,                 3.1875,                 26.345,                  3.185,             0.00014851,             0.00014851,             0.00014851
                      3,                 0.7787,                 1.7057,                 1.0111,                 0.0009,                0.12917,                0.00076,                  9e-05,                 4.0677,                 350.78,                 6.1752,             0.00022545,             0.00022545,             0.00022545
                      4,                 0.7402,                 1.3821,                0.99588,                 0.4476,                 0.0125,                0.00851,                0.00203,                 3.7037,                 315.54,                 4.9432,             0.00030079,             0.00030079,             0.00030079
                      5,                  0.819,                 1.4787,                 1.0444,                0.51552,                  0.112,                0.02552,                0.00934,                 3.3189,                 13.707,                 5.0814,             0.00037456,             0.00037456,             0.00037456
                      6,                0.85999,                 1.4191,                 1.0385,                0.20026,                 0.0125,                0.00103,                0.00043,                 4.4318,                  14963,                 178.76,             0.00044674,             0.00044674,             0.00044674
                      7,                0.86054,                 1.3592,                 1.0217,                0.00056,                0.01667,                0.00024,                0.00011,                 3.9929,                 80.873,                 17.008,             0.00051733,             0.00051733,             0.00051733
                      8,                0.87184,                 1.4346,                 1.0627,                0.01699,                  0.025,                0.01568,                0.00706,                  3.919,                 187.51,                 16.849,             0.00058634,             0.00058634,             0.00058634
                      9,                0.89846,                 1.3661,                 1.0921,                0.47255,                 0.0125,                0.01326,                 0.0027,                 3.9826,                 59.587,                 18.604,             0.00065377,             0.00065377,             0.00065377
                     10,                0.85463,                 1.3524,                 1.0468,                 0.0007,                    0.2,                0.00091,                0.00026,                  4.693,                 602.89,                 37.812,             0.00071961,             0.00071961,             0.00071961
                     11,                0.86365,                 1.4402,                 1.0583,                0.00209,                  0.025,                 0.0013,                 0.0003,                 3.5946,                 5288.7,                 13.102,             0.00078387,             0.00078387,             0.00078387
                     12,                0.81785,                  1.294,                 1.0526,                0.02815,                   0.05,                0.01112,                0.00314,                 3.7031,                 14.263,                  6.367,             0.00084654,             0.00084654,             0.00084654
                     13,                0.87077,                 1.2473,                 1.0588,                0.02815,                   0.05,                0.01112,                0.00314,                 4.7182,                 13.437,                 13.162,              0.0008812,              0.0008812,              0.0008812
                     14,                0.86428,                  1.204,                 1.0414,                0.00753,                    0.1,                0.00601,                0.00086,                  3.738,                 44.998,                 5.3806,              0.0008713,              0.0008713,              0.0008713
                     15,                0.85701,                 1.2494,                 1.0884,                0.00278,                 0.0125,                 0.0026,                0.00026,                 4.1968,                 315.09,                 11.035,              0.0008614,              0.0008614,              0.0008614
                     16,                 0.8218,                 1.1423,                 1.0325,                0.00278,                 0.0125,                 0.0026,                0.00026,                 3.9996,                 14.828,                 12.819,              0.0008515,              0.0008515,              0.0008515
                     17,                0.86417,                 1.2099,                 1.0741,                0.02819,                 0.0125,                0.00341,                0.00068,                 3.5552,                 19.059,                 3.9694,              0.0008416,              0.0008416,              0.0008416
                     18,                0.79217,                 1.1269,                 1.0315,                0.22205,                 0.0625,                0.01806,                0.00575,                 2.8301,                 11.306,                 3.4654,              0.0008317,              0.0008317,              0.0008317
                     19,                0.76818,                  1.056,                 1.0287,                0.04923,                 0.0375,                0.03284,                0.00747,                 3.0812,                  15.55,                 3.2913,              0.0008218,              0.0008218,              0.0008218
                     20,                 0.7799,                 1.0175,                 1.0012,                0.04979,                 0.1625,                0.03674,                0.01404,                 2.9355,                 6.1877,                 3.3639,              0.0008119,              0.0008119,              0.0008119
